student_id,topic,quiz_no,score,time_taken
1,Algebra,1,81,19
1,Algebra,2,90,25
1,Algebra,3,53,7
1,Algebra,4,51,25
1,Algebra,5,31,28
1,Algebra,6,59,10
1,Algebra,7,31,25
1,Algebra,8,62,16
1,Algebra,9,87,26
1,Algebra,10,78,14
1,Calculus,1,89,20
1,Calculus,2,44,19
1,Calculus,3,91,23
1,Calculus,4,84,24
1,Calculus,5,93,29
1,Calculus,6,32,9
1,Calculus,7,80,11
1,Calculus,8,50,13
1,Calculus,9,68,22
1,Calculus,10,33,29
1,Probability,1,89,18
1,Probability,2,38,25
1,Probability,3,31,24
1,Probability,4,89,11
1,Probability,5,73,12
1,Probability,6,76,7
1,Probability,7,65,22
1,Probability,8,33,6
1,Probability,9,35,26
1,Probability,10,33,26
1,Statistics,1,92,22
1,Statistics,2,73,6
1,Statistics,3,91,8
1,Statistics,4,43,20
1,Statistics,5,44,12
1,Statistics,6,91,12
1,Statistics,7,82,28
1,Statistics,8,55,29
1,Statistics,9,89,17
1,Statistics,10,70,19
1,Trigonometry,1,74,5
1,Trigonometry,2,38,28
1,Trigonometry,3,30,16
1,Trigonometry,4,37,28
1,Trigonometry,5,92,15
1,Trigonometry,6,37,7
1,Trigonometry,7,64,5
1,Trigonometry,8,34,14
1,Trigonometry,9,70,11
1,Trigonometry,10,41,6
2,Algebra,1,62,20
2,Algebra,2,52,28
2,Algebra,3,66,7
2,Algebra,4,73,12
2,Algebra,5,64,5
2,Algebra,6,76,18
2,Algebra,7,32,5
2,Algebra,8,34,27
2,Algebra,9,43,11
2,Algebra,10,56,13
2,Calculus,1,44,14
2,Calculus,2,80,11
2,Calculus,3,81,8
2,Calculus,4,52,11
2,Calculus,5,44,15
2,Calculus,6,58,8
2,Calculus,7,42,11
2,Calculus,8,88,23
2,Calculus,9,57,6
2,Calculus,10,71,17
2,Probability,1,91,29
2,Probability,2,35,16
2,Probability,3,73,24
2,Probability,4,59,15
2,Probability,5,91,5
2,Probability,6,30,29
2,Probability,7,56,29
2,Probability,8,32,11
2,Probability,9,99,12
2,Probability,10,56,13
2,Statistics,1,91,9
2,Statistics,2,80,14
2,Statistics,3,73,28
2,Statistics,4,88,26
2,Statistics,5,61,28
2,Statistics,6,81,21
2,Statistics,7,91,21
2,Statistics,8,87,24
2,Statistics,9,41,11
2,Statistics,10,31,7
2,Trigonometry,1,85,21
2,Trigonometry,2,88,21
2,Trigonometry,3,31,6
2,Trigonometry,4,83,27
2,Trigonometry,5,30,23
2,Trigonometry,6,31,25
2,Trigonometry,7,73,10
2,Trigonometry,8,61,27
2,Trigonometry,9,97,27
2,Trigonometry,10,85,21
3,Algebra,1,67,28
3,Algebra,2,98,24
3,Algebra,3,99,26
3,Algebra,4,40,20
3,Algebra,5,45,5
3,Algebra,6,88,10
3,Algebra,7,32,24
3,Algebra,8,88,8
3,Algebra,9,48,7
3,Algebra,10,48,24
3,Calculus,1,81,13
3,Calculus,2,62,12
3,Calculus,3,68,22
3,Calculus,4,30,15
3,Calculus,5,86,29
3,Calculus,6,79,27
3,Calculus,7,60,14
3,Calculus,8,36,20
3,Calculus,9,89,21
3,Calculus,10,31,5
3,Probability,1,77,16
3,Probability,2,98,9
3,Probability,3,61,27
3,Probability,4,38,13
3,Probability,5,48,20
3,Probability,6,32,24
3,Probability,7,53,26
3,Probability,8,62,28
3,Probability,9,65,10
3,Probability,10,54,22
3,Statistics,1,95,26
3,Statistics,2,64,20
3,Statistics,3,90,13
3,Statistics,4,62,8
